"application_id","gender","age_group","ethnicity","postcode","annual_income","credit_score","employment_years","debt_to_income_ratio","loan_amount","loan_purpose","previous_defaults","education_level","marital_status","occupation_category","loan_approved"
24,"Non-binary","36-50","Caucasian","Suburban",25073,701,39,0.38,23808,"Education",0,"Bachelor","Single","Service","YES"
25,"Male","36-50","African_American","Suburban",55114,528,27,0.71,86890,"Car",1,"Bachelor","Married","Service","NO"
26,"Male","36-50","Hispanic","Low_Income_Area",94687,745,2,0.1,59546,"Car",0,"Bachelor","Married","Manual","YES"
27,"Male","51-65","Hispanic","Rural",87435,644,38,0.68,19948,"Car",0,"Master","Widowed","Manual","NO"
28,"Male","51-65",NA,"Urban_Center",37003,580,1,0.73,84753,"Education",0,"Bachelor","Widowed","Manual","NO"
29,"Female","26-35","Caucasian","Urban_Center",35478,687,15,0.51,9872,"Education",0,"High_School","Married","Professional","YES"
30,"Female","51-65","African_American","Suburban",66162,632,36,0.26,83072,"Home",0,"Master","Married","Professional","YES"
31,"Non-binary","51-65","Hispanic","Low_Income_Area",45940,635,17,0.34,79138,"Education",0,"Master","Single","Service","NO"
32,"Male","51-65","Caucasian","Suburban",73115,639,18,0.11,71633,"Business",0,"Bachelor","Divorced","Professional","YES"
33,"Male","51-65","Caucasian","Urban_Center",45321,805,1,0.13,51431,"Car",0,"Master","Married","Service","YES"
34,"Male","36-50","African_American","Urban_Center",32798,595,35,0.41,12246,"Education",1,"Bachelor","Married","Professional","YES"
35,"Female","36-50","Caucasian","Low_Income_Area",56397,745,36,0.21,65722,"Business",0,"High_School","Widowed","Manual","YES"
36,"Female","51-65","Asian","Urban_Center",40516,666,18,0.31,76482,"Home",0,"High_School","Married","Service","YES"
37,"Male","51-65","Caucasian","Urban_Center",86733,622,31,0.19,13764,"Personal",0,"Master","Single","Manual","NO"
38,"Female",NA,"Hispanic","Suburban",58304,586,9,0.62,90144,"Car",0,"Bachelor","Divorced","Manual","NO"
39,"Female","65+","Hispanic","Suburban",64243,613,34,0.61,27852,"Education",0,"Master","Divorced","Professional","NO"
40,"Female","51-65","African_American","Rural",92612,622,25,0.46,51415,"Education",0,"Bachelor","Single","Professional","NO"
41,"Female","26-35","Caucasian","Rural",102156,759,6,0.33,44221,"Business",0,"High_School","Divorced","Unemployed","NO"
42,"Female","36-50","Caucasian","Rural",63941,572,16,0.6,7424,"Business",0,"PhD","Single","Manual","YES"
43,"Female","26-35","Hispanic","Suburban",71667,814,37,0.58,98275,"Personal",0,"High_School","Married","Service","YES"
44,"Female","18-25","Caucasian","Suburban",91182,633,9,0.32,31408,"Business",0,"High_School","Divorced","Service","NO"
45,"Female","65+","Other","Low_Income_Area",61511,585,10,0.65,96032,"Education",1,"Bachelor","Married","Professional","NO"
46,"Female","65+","Caucasian","Urban_Center",44127,579,7,0.77,57229,"Home",0,"Master","Single","Professional","NO"
47,"Female","18-25","Caucasian","Urban_Center",84884,669,37,0.67,53857,"Car",0,"Bachelor","Single","Unemployed","NO"
48,"Female","36-50","Caucasian","Suburban",34507,825,20,0.26,20377,"Car",1,"Bachelor","Married","Professional","YES"
49,"Female","36-50","Caucasian","Suburban",60095,628,19,0.78,86372,"Education",1,"Bachelor","Divorced","Service","YES"
50,"Male","26-35","Hispanic","Suburban",56957,640,8,0.48,98672,"Business",0,"Bachelor","Widowed","Manual","YES"
51,"Female",NA,"Caucasian","Suburban",54545,671,29,0.34,32084,"Education",2,"Bachelor","Married","Service","YES"
52,"Female","36-50","Caucasian","Urban_Center",25000,656,31,0.36,44055,"Home",0,"Bachelor","Married","Service","YES"
53,"Male","65+","Caucasian","Suburban",53262,576,22,0.36,38528,"Education",1,"Master","Divorced","Manual","NO"
54,"Female","36-50","Caucasian","Suburban",90326,749,18,0.72,17472,"Education",0,"Bachelor","Widowed","Manual","YES"
55,"Male","65+","Caucasian","Suburban",55623,527,8,0.27,49124,"Home",0,"Bachelor","Married","Professional","YES"
56,"Female","36-50","African_American","Suburban",52619,552,7,0.67,22759,"Car",0,"High_School","Divorced","Service","NO"
57,"Female","51-65","Other","Urban_Center",51677,608,17,0.73,12429,"Education",1,"Bachelor","Married","Service","NO"
58,"Male","18-25","Caucasian","Suburban",47505,622,10,0.36,7856,"Car",1,"Bachelor","Married","Service","YES"
59,"Male","18-25","Caucasian","Rural",67920,755,12,0.34,52223,"Home",0,"PhD","Single","Professional","YES"
60,"Female","51-65","Caucasian","Low_Income_Area",76856,588,4,0.25,64518,"Education",1,"Master","Married","Manual","NO"
61,"Male","36-50","Caucasian","Suburban",93974,632,6,0.43,61247,"Home",0,"High_School","Single","Professional","NO"
62,"Female","18-25","Caucasian","Low_Income_Area",33678,617,29,0.47,60670,"Education",0,"Master","Married","Manual","YES"
63,"Female","51-65","Caucasian","Suburban",72907,810,18,0.29,17502,"Car",2,"Master","Divorced","Service","YES"
64,"Female","18-25","Caucasian","Rural",61935,795,5,0.52,69286,"Home",0,"Bachelor","Divorced","Professional","YES"
65,"Male","36-50","African_American","Suburban",70706,544,7,0.38,11722,"Home",0,"Bachelor","Single","Manual","NO"
66,"Female","36-50","African_American","Suburban",44366,694,29,0.33,41289,"Education",0,"Master","Widowed","Professional","NO"
67,"Male","26-35","Hispanic","Suburban",65910,520,20,0.53,99886,"Car",1,"High_School","Divorced","Service","YES"
68,"Male","36-50","Caucasian","Suburban",41928,567,36,0.52,9415,"Personal",1,"Master","Single","Service","YES"
69,"Male","18-25",NA,"Rural",78194,592,23,0.22,35100,"Personal",0,"Master","Single","Manual","NO"
70,"Female","65+","Caucasian","Suburban",46076,565,31,0.31,9978,"Education",0,"High_School","Married","Service","YES"
71,"Male","36-50","Caucasian","Rural",66271,673,31,0.68,69041,"Business",0,"Master","Single","Manual","NO"
72,"Male","65+","African_American","Suburban",25000,619,28,0.29,18694,"Personal",0,"Bachelor","Single","Unemployed","NO"
73,"Male","51-65","Caucasian","Suburban",71539,681,8,0.18,33731,"Home",1,"High_School","Single","Manual","YES"
74,"Female","26-35","Caucasian","Rural",87154,773,9,0.4,11713,"Business",0,"Master","Married","Manual","YES"
75,"Female","51-65","Asian","Suburban",80323,767,30,0.66,94239,"Personal",0,"PhD","Married","Manual","YES"
76,"Female","18-25","Other","Suburban",86073,443,15,0.15,99567,"Education",0,"PhD","Married","Manual","YES"
77,"Female","26-35","Hispanic","Rural",37881,625,20,0.27,38579,"Home",0,"PhD","Married","Service","YES"
78,"Male","26-35","Hispanic","Suburban",61614,698,38,0.15,69523,"Home",1,"Bachelor","Divorced","Service","NO"
79,"Female","65+","Caucasian","Urban_Center",63606,766,14,0.23,69488,"Education",0,"High_School","Single","Professional","YES"
80,"Female","36-50","African_American","Suburban",79404,593,32,0.74,93962,"Home",2,"Bachelor","Married","Service","NO"
81,"Female","36-50","Caucasian","Urban_Center",61644,663,35,0.71,78450,"Business",1,"PhD","Married","Manual","YES"
82,"Male","51-65","Caucasian","Low_Income_Area",60934,813,22,0.63,19279,"Education",0,"Master","Single","Manual","NO"
83,"Female","51-65","African_American","Urban_Center",98563,670,24,0.45,33098,"Business",1,"Master","Single","Service","NO"
84,"Male","36-50","Hispanic","Rural",86819,838,28,0.21,38315,"Car",0,"Bachelor","Single","Professional","NO"
85,"Female","26-35","Caucasian","Rural",29871,428,9,0.51,29992,"Business",0,"PhD","Divorced","Service","YES"
86,"Female","51-65","Asian","Urban_Center",57308,850,8,0.78,21990,"Education",0,"Master","Single","Professional","YES"
87,"Non-binary","26-35","Caucasian","Rural",45157,413,4,0.74,86382,"Home",1,"Master","Married","Service","NO"
88,"Male","65+","African_American","Urban_Center",124432,763,15,0.65,61344,"Car",0,"Bachelor","Single","Professional","NO"
89,"Male","51-65","African_American","Rural",55113,756,25,0.65,91168,"Home",0,"Bachelor","Single","Manual","YES"
90,"Female","26-35","African_American","Urban_Center",87961,612,13,0.49,91413,"Home",0,"Bachelor","Married","Service","NO"
91,"Female","36-50","Caucasian","Suburban",66925,617,9,0.43,60708,"Personal",0,"Master","Divorced","Professional","YES"
92,"Male","26-35","Caucasian","Urban_Center",67177,686,33,0.6,73024,"Business",0,"Bachelor","Married","Professional","NO"
93,"Female","36-50","Caucasian","Suburban",74905,667,39,0.22,14906,"Car",0,"PhD","Married","Manual","YES"
94,"Male","36-50","Caucasian","Urban_Center",62147,674,8,0.59,46917,"Education",0,"Bachelor","Married","Professional","YES"
95,"Female","26-35","Caucasian","Urban_Center",81659,781,28,0.52,80562,"Education",0,"High_School","Single","Service","YES"
96,"Female","51-65","Caucasian","Suburban",76196,673,5,0.59,12772,"Home",0,"High_School","Married","Professional","NO"
97,"Male","65+","Caucasian","Urban_Center",31298,444,0,0.35,26610,"Education",0,"High_School","Single","Service","NO"
98,"Female","26-35","Other","Suburban",53888,692,11,0.62,40559,"Car",1,"Master","Married","Service","NO"
99,"Female","26-35","Caucasian","Suburban",54533,618,6,0.66,46310,"Home",0,"Bachelor","Married","Manual","NO"
100,"Male","36-50","Caucasian","Suburban",54878,734,21,0.14,70988,"Home",1,"Master","Divorced","Unemployed","YES"
101,"Male","51-65","Caucasian","Suburban",86306,563,4,0.19,91794,"Car",0,"Bachelor","Single","Manual","YES"
102,"Female","26-35","Caucasian","Suburban",94741,625,18,0.22,31220,"Education",0,"Master","Married","Professional","NO"
103,"Female",NA,"Caucasian","Rural",46564,496,6,0.27,9760,"Business",0,"Master","Single","Manual","NO"
104,"Non-binary","65+","Other","Urban_Center",75829,502,11,0.17,48854,"Education",0,"Bachelor","Married","Professional","YES"
105,"Female","51-65","Hispanic","Urban_Center",41605,476,2,0.8,78337,"Education",0,"Bachelor","Married","Service","NO"
106,"Male","51-65","Caucasian","Urban_Center",53858,652,12,0.18,53220,"Education",0,"High_School","Married","Professional","YES"
107,"Male","36-50","Asian","Suburban",70969,376,28,0.74,63449,"Business",2,"Bachelor","Single","Unemployed","NO"
108,"Male","36-50","African_American","Rural",61222,775,9,0.16,75572,"Home",0,"Master","Married","Manual","YES"
109,"Female","18-25","Caucasian","Urban_Center",51391,585,26,0.2,62617,"Car",0,"High_School","Divorced","Service","NO"
110,"Female","18-25","Hispanic","Rural",39851,651,31,0.68,59261,"Home",1,"Bachelor","Single","Unemployed","NO"
111,"Male","51-65","African_American","Urban_Center",58765,770,27,0.31,62326,"Car",0,"Master","Divorced","Service","YES"
112,"Female","36-50","Caucasian","Urban_Center",66050,680,19,0.6,35185,"Personal",0,"Bachelor","Married","Manual","YES"
113,"Female","36-50","Caucasian","Rural",76245,692,35,0.42,41214,"Car",1,"Master","Married","Manual","YES"
114,"Male","26-35","Caucasian","Urban_Center",47484,586,31,0.48,12383,"Car",0,"Bachelor","Married","Manual","YES"
115,"Male","26-35","African_American","Low_Income_Area",76735,521,19,0.26,58257,"Car",0,"Master","Married","Professional","NO"
116,"Female","36-50","Caucasian","Suburban",41723,714,8,0.79,90499,"Personal",2,"Master","Widowed","Professional","NO"
117,"Male","18-25","Caucasian","Suburban",54078,630,37,0.67,39943,"Car",0,"Master","Married","Professional","NO"
118,"Non-binary","36-50","Caucasian","Urban_Center",74008,650,36,0.7,70243,"Education",1,"Bachelor","Widowed","Professional","NO"
119,"Male",NA,"Caucasian","Suburban",51150,568,5,0.52,61802,"Home",1,"PhD","Single","Manual","YES"
120,"Female","18-25","Asian","Urban_Center",49408,594,15,0.62,97255,"Personal",0,"Master","Married","Service","NO"
121,"Male","65+","Hispanic","Urban_Center",64053,421,10,0.76,30517,"Car",0,"Bachelor","Single","Professional","NO"
122,"Female","51-65","Hispanic","Urban_Center",65709,485,23,0.47,63621,"Business",1,"Bachelor","Married","Service","NO"
123,"Female","36-50","Caucasian","Suburban",83690,493,9,0.42,64220,"Home",0,"PhD","Married","Professional","NO"
124,"Female","36-50","Caucasian","Suburban",60332,632,22,0.44,18111,"Home",0,"Bachelor","Married","Professional","YES"
125,"Female","18-25","Asian","Urban_Center",30984,543,14,0.67,93332,"Home",0,"Master","Married","Professional","NO"
126,"Non-binary","36-50","Asian","Rural",51883,689,23,0.58,90102,"Car",0,"PhD","Single","Service","NO"
127,"Female","18-25","African_American","Suburban",52391,654,7,0.54,21419,"Home",0,"High_School","Married","Service","NO"
128,"Female","26-35","Hispanic","Suburban",46353,600,4,0.29,45791,"Home",1,"Master","Married","Professional","NO"
129,"Female","26-35","Caucasian","Low_Income_Area",71438,489,30,0.16,35173,"Home",0,"Master","Single","Service","YES"
130,"Male","65+","Caucasian","Urban_Center",115035,583,8,0.53,28412,"Home",0,"Bachelor","Single","Service","YES"
131,"Male","36-50",NA,"Suburban",80883,739,18,0.16,32229,"Personal",1,"PhD","Married","Service","YES"
132,"Male","26-35","Caucasian","Suburban",61903,698,16,0.64,52194,"Car",0,"Master","Married","Manual","NO"
133,"Male","36-50","Caucasian","Low_Income_Area",75073,619,35,0.47,88485,"Education",0,"Bachelor","Divorced","Manual","YES"
134,"Male","36-50","Asian","Urban_Center",93855,426,5,0.53,13691,"Home",0,"Master","Single","Professional","NO"
135,"Male","51-65","African_American","Rural",58815,601,3,0.13,40104,"Business",0,"Master","Single","Professional","YES"
136,"Male","51-65","Caucasian","Rural",78290,358,30,0.4,67652,"Business",0,"Master","Married","Professional","NO"
137,"Male","26-35","Caucasian","Rural",76238,827,3,0.22,84587,"Car",0,"Bachelor","Married","Unemployed","NO"
138,"Male","18-25","Caucasian","Urban_Center",62547,653,6,0.19,30991,"Education",0,"PhD","Single","Manual","YES"
139,"Non-binary","65+","Caucasian","Urban_Center",66131,776,10,0.63,50424,"Home",0,"High_School","Married","Manual","NO"
140,"Female","26-35","Hispanic","Urban_Center",78038,633,13,0.25,21591,"Business",1,"Bachelor","Divorced","Manual","NO"
141,"Female","51-65","African_American","Suburban",64475,850,8,0.63,29739,"Car",1,"High_School","Widowed","Professional","YES"
142,"Female","36-50","African_American","Urban_Center",58210,560,33,0.22,52262,"Business",0,"High_School","Married","Professional","NO"
143,"Female","26-35","Caucasian","Rural",53120,734,3,0.33,80780,"Business",0,"High_School","Married","Unemployed","NO"
144,"Female","36-50","Caucasian","Rural",70819,649,25,0.29,64168,"Car",1,"Master","Single","Service","YES"
145,"Male","36-50","Caucasian","Suburban",63900,723,26,0.46,29615,"Business",0,"PhD","Married","Professional","NO"
146,"Female","36-50","African_American","Suburban",57565,517,17,0.68,86832,"Home",0,"Master","Married","Professional","NO"
147,"Female","36-50","Caucasian","Rural",68532,850,30,0.18,35089,"Home",0,"High_School","Married","Service","YES"
148,"Female","26-35","Caucasian","Suburban",49539,680,33,0.58,65045,"Home",1,"Master","Single","Manual","NO"
149,"Female","51-65","Caucasian","Urban_Center",48952,600,36,0.42,35179,"Home",0,"High_School","Single","Service","NO"
150,"Male","51-65","Caucasian","Rural",92471,531,26,0.72,41792,"Home",0,"Bachelor","Married","Manual","NO"
151,"Male","26-35","Caucasian","Rural",47373,497,28,0.67,83893,"Car",1,"Master","Single","Professional","NO"
152,"Female","65+","Caucasian","Suburban",71316,468,29,0.12,73916,"Education",1,"PhD","Divorced","Professional","NO"
153,"Female","51-65","Hispanic","Suburban",45632,478,27,0.73,98353,"Car",0,"Bachelor","Married","Service","NO"
154,"Female","36-50","Hispanic","Rural",60388,654,32,0.11,80120,"Home",0,"High_School","Single","Professional","YES"
155,"Female","26-35","Caucasian","Suburban",72807,762,36,0.17,13453,"Business",1,"PhD","Divorced","Manual","YES"
156,"Female","26-35","Caucasian","Rural",44809,685,11,0.58,72724,"Home",0,"Bachelor","Single","Manual","NO"
157,"Male","26-35","Caucasian","Urban_Center",76901,457,14,0.35,23438,"Home",0,"Bachelor","Married","Service","YES"
158,"Female","18-25","African_American","Suburban",69378,659,8,0.23,57165,"Home",0,"Bachelor","Single","Professional","NO"
159,"Female","36-50","Caucasian","Urban_Center",58668,800,22,0.41,19244,"Home",1,"High_School","Single","Professional","NO"
160,"Female","26-35","Asian","Suburban",69909,751,38,0.6,64390,"Car",0,"High_School","Widowed","Service","YES"
161,"Male","65+","Caucasian","Low_Income_Area",66501,834,25,0.49,14556,"Business",0,"Bachelor","Single","Manual","YES"
162,"Female","36-50","Caucasian","Rural",48207,692,39,0.34,36131,"Business",1,"Bachelor","Married","Manual","YES"
163,"Male","51-65","Caucasian","Urban_Center",37059,321,40,0.17,59409,"Home",0,"Master","Single","Professional","NO"
164,"Female","51-65","Caucasian","Low_Income_Area",67123,714,7,0.48,21456,"Home",0,"Bachelor","Married","Service","YES"
165,"Female","51-65","Caucasian","Urban_Center",44906,671,27,0.49,58088,"Education",0,"Bachelor","Married","Manual","NO"
166,"Male","65+","Caucasian","Rural",64296,478,25,0.75,57977,"Home",0,"Bachelor","Divorced","Unemployed","NO"
167,"Male","36-50","Caucasian","Rural",32038,637,9,0.59,38678,"Car",0,"Bachelor","Married","Professional","NO"
168,"Female","65+","Caucasian","Suburban",46419,583,35,0.62,26948,"Car",0,"Bachelor","Married","Manual","NO"
169,"Female","51-65","Caucasian","Suburban",70442,606,27,0.76,34054,"Car",0,"Master","Widowed","Professional","NO"
170,"Female",NA,"Other","Suburban",85906,697,21,0.43,76133,"Business",0,"Bachelor","Married","Service","YES"
171,"Male","36-50","Caucasian","Rural",68386,591,5,0.19,74880,"Education",1,"High_School","Married","Professional","NO"
172,"Female","26-35","Hispanic","Rural",45111,585,32,0.29,67574,"Car",0,"High_School","Single","Manual","NO"
173,"Male","36-50",NA,"Suburban",56693,504,5,0.6,6961,"Education",0,"Master","Widowed","Professional","NO"
174,"Male","26-35","Caucasian","Rural",86873,667,1,0.13,73970,"Education",0,"Bachelor","Married","Manual","YES"
175,"Male","18-25","Caucasian","Urban_Center",75374,705,35,0.36,90933,"Home",0,"Master","Single","Manual","YES"
176,"Male","36-50","African_American","Urban_Center",80741,707,11,0.6,73600,"Personal",0,"Master","Single","Manual","NO"
177,"Female","26-35","Caucasian","Suburban",84934,769,5,0.13,56615,"Car",0,"Bachelor","Single","Professional","YES"
178,"Male","18-25","Caucasian","Suburban",72549,413,26,0.28,31145,"Home",1,"High_School","Married","Service","NO"
179,"Male","36-50","Caucasian","Urban_Center",87188,653,2,0.78,81319,"Business",0,"PhD","Single","Manual","YES"
180,"Male","18-25","Caucasian","Low_Income_Area",45536,517,19,0.15,64060,"Education",0,"Bachelor","Married","Manual","NO"
181,"Male","65+","Hispanic","Suburban",70993,711,13,0.21,49442,"Car",0,"Bachelor","Single","Professional","NO"
182,"Female","51-65","African_American","Urban_Center",58210,658,8,0.79,39069,"Education",0,"High_School","Married","Professional","NO"
183,"Male","36-50","Caucasian","Urban_Center",69035,543,11,0.27,53511,"Home",0,"High_School","Married","Professional","YES"
184,"Female","26-35","Hispanic","Urban_Center",91508,612,23,0.11,38725,"Car",0,"Bachelor","Married","Service","YES"
185,"Male","51-65","Caucasian","Suburban",75076,790,25,0.37,41792,"Home",1,"PhD","Divorced","Unemployed","YES"
186,"Female","36-50","Caucasian","Rural",52407,596,4,0.18,91099,"Home",0,"High_School","Divorced","Unemployed","YES"
187,"Female","18-25","Caucasian","Suburban",57997,478,16,0.53,32329,"Business",0,"High_School","Married","Manual","YES"
188,"Male","51-65","Caucasian","Urban_Center",45973,759,32,0.68,75502,"Home",0,"Bachelor","Divorced","Professional","YES"
189,"Male","36-50","Caucasian","Suburban",63204,767,40,0.49,85105,"Car",0,"Bachelor","Widowed","Service","YES"
190,"Male","51-65","African_American","Low_Income_Area",55008,589,8,0.26,42485,"Business",0,"Bachelor","Divorced","Manual","YES"
191,"Female","51-65","Caucasian","Rural",80831,815,36,0.15,55743,"Education",0,"Master","Divorced","Service","YES"
192,"Female","36-50","African_American","Suburban",55145,633,28,0.29,45855,"Business",0,"Master","Married","Service","NO"
193,"Non-binary","51-65","Caucasian","Suburban",79206,523,1,0.26,15599,"Personal",0,"Master","Divorced","Professional","NO"
194,"Male","65+","Hispanic","Rural",79415,619,15,0.42,66171,"Personal",0,"High_School","Divorced","Manual","NO"
195,"Male","18-25","Caucasian","Suburban",56293,675,25,0.62,67692,"Business",0,"PhD","Divorced","Manual","YES"
196,"Female","18-25","Caucasian","Suburban",93530,706,33,0.62,71419,"Business",2,"PhD","Widowed","Manual","NO"
197,"Female","51-65","Hispanic","Rural",65538,689,14,0.23,22616,"Car",1,"Bachelor","Widowed","Service","YES"
198,"Male","51-65","Asian","Urban_Center",51944,774,18,0.56,37992,"Business",1,"High_School","Single","Professional","NO"
199,"Female","26-35","Caucasian","Low_Income_Area",66488,673,31,0.51,6464,"Car",0,"Master","Married","Manual","NO"
200,"Male",NA,"African_American","Rural",45181,702,38,0.69,27353,"Home",0,"High_School","Married","Professional","YES"
201,"Female","18-25","Caucasian","Rural",78020,753,6,0.48,47972,"Education",1,"Master","Widowed","Manual","YES"
202,"Non-binary","51-65","Caucasian","Urban_Center",47097,633,37,0.48,50400,"Personal",1,"Master","Single","Service","NO"
203,"Male","18-25",NA,"Suburban",90860,571,12,0.68,48732,"Home",0,"Bachelor","Single","Service","NO"
204,"Male","36-50","Caucasian","Urban_Center",25000,622,34,0.45,64583,"Car",1,"Bachelor","Married","Unemployed","NO"
205,"Female","36-50","Hispanic","Rural",42751,517,21,0.61,69182,"Education",0,"High_School","Married","Professional","NO"
206,"Male","51-65","Caucasian","Suburban",58233,655,28,0.62,18958,"Car",0,"Bachelor","Single","Professional","YES"
207,"Female","36-50","Caucasian","Suburban",50986,700,26,0.55,91892,"Business",0,"Master","Married","Service","YES"
208,"Female","51-65","Hispanic","Urban_Center",91939,545,25,0.58,80089,"Education",0,"Master","Married","Service","YES"
209,"Female","51-65","African_American","Urban_Center",63791,563,2,0.69,82800,"Home",2,"Master","Married","Service","NO"
210,"Female","36-50","Caucasian","Low_Income_Area",72096,539,3,0.53,54269,"Home",0,"High_School","Divorced","Service","YES"
211,"Female","26-35","Caucasian","Rural",79147,646,14,0.54,26029,"Business",0,"Bachelor","Divorced","Professional","NO"
212,"Female","51-65","Hispanic","Rural",68058,792,15,0.14,34106,"Home",0,"Bachelor","Single","Service","NO"
213,"Female","36-50","Caucasian","Urban_Center",84220,587,1,0.24,72849,"Business",0,"PhD","Divorced","Unemployed","YES"
214,"Male","36-50","Caucasian","Low_Income_Area",73794,587,11,0.26,18533,"Business",0,"Bachelor","Married","Unemployed","YES"
215,"Female","26-35","Caucasian","Urban_Center",78964,647,28,0.36,55388,"Business",0,"High_School","Divorced","Professional","NO"
216,"Male","36-50","African_American","Low_Income_Area",35280,552,26,0.76,70218,"Home",1,"Bachelor","Single","Manual","NO"
217,"Female","36-50","Caucasian","Urban_Center",42474,751,10,0.27,70683,"Education",0,"Master","Widowed","Service","YES"
218,"Female","51-65","Caucasian","Rural",25000,620,30,0.42,99894,"Car",1,"Bachelor","Married","Professional","NO"
219,"Male","51-65","African_American","Urban_Center",59935,763,37,0.26,38081,"Car",0,"High_School","Married","Professional","YES"
220,"Male","26-35","Caucasian","Rural",93635,714,19,0.26,87665,"Education",0,"Master","Married","Professional","YES"
221,"Female","36-50","Caucasian","Urban_Center",45432,729,35,0.72,28790,"Business",0,"Master","Divorced","Professional","NO"
222,"Non-binary","51-65","Caucasian","Suburban",71301,502,30,0.37,26980,"Home",0,"Master","Divorced","Professional","YES"
223,"Male","18-25","Caucasian","Suburban",73819,482,9,0.69,85544,"Education",0,"Master","Single","Professional","NO"
224,"Male","36-50","Caucasian","Low_Income_Area",69771,656,35,0.11,86148,"Car",1,"PhD","Married","Professional","YES"
225,"Female","65+","Caucasian","Urban_Center",59316,614,26,0.55,56693,"Home",0,"Master","Married","Manual","NO"
226,"Female","36-50","Caucasian","Urban_Center",52637,616,17,0.75,72058,"Personal",0,"Master","Single","Unemployed","YES"
227,"Female","36-50","African_American","Urban_Center",52265,640,35,0.45,76281,"Education",1,"Bachelor","Married","Professional","NO"
228,"Male","26-35","Caucasian","Low_Income_Area",65349,810,11,0.45,19061,"Home",1,"Master","Married","Professional","YES"
229,"Male","18-25","Asian","Rural",90993,604,27,0.45,29746,"Education",0,"Master","Married","Unemployed","NO"
230,"Male","36-50","Caucasian","Suburban",49130,588,37,0.41,39701,"Car",0,"Bachelor","Single","Service","YES"
231,"Male","18-25","Caucasian","Suburban",62549,813,5,0.31,5268,"Education",0,"PhD","Single","Manual","NO"
232,"Female","18-25","Caucasian","Urban_Center",66985,672,32,0.53,98240,"Education",0,"High_School","Divorced","Manual","NO"
233,"Male","26-35","Caucasian","Suburban",80828,674,1,0.58,35380,"Car",0,"Bachelor","Married","Service","YES"
234,"Female","51-65","Asian","Urban_Center",60373,520,4,0.46,86279,"Business",0,"Master","Single","Professional","YES"
235,"Female","26-35","African_American","Suburban",77754,725,24,0.16,57921,"Education",1,"High_School","Single","Unemployed","YES"
236,"Female","26-35","Caucasian","Low_Income_Area",35065,767,20,0.27,26130,"Business",0,"High_School","Married","Manual","NO"
237,"Female","65+","Caucasian","Suburban",79368,721,9,0.19,97887,"Home",1,"Bachelor","Single","Service","NO"
